codigoinstitucion;nombreinstitucion;codigodepartinstitucion;nombredepartinstitucion;codigomunicipioinstitucion;nombremunicipioinstitucion;codigoorigeninstitucional;nombreorigeninstitucional;codigocaracteracademico;nombrecaracteracademico;codigoprograma;nombreprograma;codigodepartprograma;nombredepartprograma;codigomunicipioprograma;nombremunicipioprograma;codigoestadoprograma;nombreestadoprograma;cantidadcreditos;fechaacreditacion;codigoareaconocimiento;nombreareaconocimiento;codigometodologia;nombremetodologia;codigonbc;nombrenbc;codigonivelformacion;nombrenivelformacion;codigonivelacademico;nombrenivelacademico;codigoperiodicidad;nombreperiodicidad;cantidadperiodos;numeroresolucionacreditacion;codigotipoacreditacion;nombretipoacreditacion;aniosacreditados;nombretituloobtenido;fechacreacion
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;110;17/07/2020;9;Matemáticas y ciencias naturales;1;Presencial;934;Biología microbiología y afines;3;Doctorado;2;Posgrado;2;Semestral;8;13196;4;n/a;NA;DOCTOR EN CIENCIAS DEL MAR;NA
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;No especifica;No especifica;No especifica;No especifica;No especifica;No especifica;1;Activo;147;26/12/2017;9;Matemáticas y ciencias naturales;1;Presencial;934;Biología microbiología y afines;3;Doctorado;2;Posgrado;2;Semestral;8;29153;4;n/a;NA;DOCTOR EN CIENCIAS - ESTADISTICA;NA
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;147;18/06/2004;9;Matemáticas y ciencias naturales;1;Presencial;934;Biología microbiología y afines;3;Doctorado;2;Posgrado;2;Semestral;8;1724;4;n/a;NA;DOCTOR EN CIENCIAS - ESTADISTICA;NA
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;2;Inactivo;147;15/11/2018;9;Matemáticas y ciencias naturales;1;Presencial;934;Biología microbiología y afines;3;Doctorado;2;Posgrado;2;Semestral;8;17752;4;n/a;NA;DOCTOR EN CIENCIAS - ESTADISTICA;NA
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;144;15/11/2018;5;Ciencias sociales y humanas;1;Presencial;569;Sociología trabajo social y afines;3;Doctorado;2;Posgrado;2;Semestral;8;17753;4;n/a;NA;DOCTOR EN CIENCIAS HUMANAS Y SOCIALES;NA
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;No especifica;No especifica;No especifica;No especifica;No especifica;No especifica;1;Activo;136;11/12/2017;9;Matemáticas y ciencias naturales;1;Presencial;937;Matemáticas estadística y afines;3;Doctorado;2;Posgrado;2;Semestral;8;27850;4;n/a;NA;DOCTOR EN CIENCIAS - MATEMÁTICAS;NA
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;136;7/12/2017;9;Matemáticas y ciencias naturales;1;Presencial;937;Matemáticas estadística y afines;3;Doctorado;2;Posgrado;2;Semestral;8;27734;3;Acreditación de alta calidad;65;DOCTOR EN CIENCIAS - MATEMÁTICAS;15/05/2015
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;150;6/09/2010;9;Matemáticas y ciencias naturales;1;Presencial;934;Biología microbiología y afines;3;Doctorado;2;Posgrado;2;Semestral;8;7733;2;Registro calificado;7;DOCTOR EN ECOLOGIA;24/07/2014
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;146;7/12/2017;5;Ciencias sociales y humanas;1;Presencial;568;Filosofía teología y afines;3;Doctorado;2;Posgrado;9;Periodos;8;27734;2;Registro calificado;7;DOCTOR EN ESTÉTICA;15/08/2018
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;128;18/06/2004;8;Ingeniería arquitectura urbanismo y afines;1;Presencial;818;Arquitectura;3;Doctorado;2;Posgrado;2;Semestral;8;1724;4;n/a;NA;DOCTOR EN ESTUDIOS URBANOS Y TERRITORIALES;22/06/2017
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;147;18/06/2004;5;Ciencias sociales y humanas;1;Presencial;562;Geografía historia;3;Doctorado;2;Posgrado;2;Semestral;8;1724;3;Acreditación de alta calidad;8;DOCTOR EN HISTORIA;20/05/2015
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;2;Inactivo;NA;18/06/2004;8;Ingeniería arquitectura urbanismo y afines;1;Presencial;833;Otras ingenierías;3;Doctorado;2;Posgrado;2;Semestral;6;1724;4;n/a;NA;DOCTOR EN INGENIERIA;NA
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;135;18/06/2004;8;Ingeniería arquitectura urbanismo y afines;1;Presencial;830;Ingeniería industrial y afines;3;Doctorado;2;Posgrado;2;Semestral;8;1724;2;Registro calificado;7;DOCTOR EN INGENIERIA;24/07/2014
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;135;18/06/2004;8;Ingeniería arquitectura urbanismo y afines;1;Presencial;825;Ingeniería civil y afines;3;Doctorado;2;Posgrado;2;Semestral;8;1724;2;Registro calificado;85;DOCTOR EN INGENIERIA;15/11/2013
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;135;18/06/2004;8;Ingeniería arquitectura urbanismo y afines;1;Presencial;831;Ingeniería mecánica y afines;3;Doctorado;2;Posgrado;2;Semestral;8;1724;2;Registro calificado;7;DOCTOR EN INGENIERÍA;17/11/2015
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;135;18/06/2004;8;Ingeniería arquitectura urbanismo y afines;1;Presencial;820;Ingeniería ambiental sanitaria y afines;3;Doctorado;2;Posgrado;2;Semestral;8;1724;3;Acreditación de alta calidad;8;DOCTOR EN INGENIERIA;15/01/2016
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;135;18/06/2004;8;Ingeniería arquitectura urbanismo y afines;1;Presencial;827;Ingeniería de sistemas telemática y afines;3;Doctorado;2;Posgrado;2;Semestral;8;1724;3;Acreditación de alta calidad;6;DOCTOR EN INGENIERIA;23/02/2017
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;135;25/05/2017;8;Ingeniería arquitectura urbanismo y afines;1;Presencial;827;Ingeniería de sistemas telemática y afines;3;Doctorado;2;Posgrado;2;Semestral;8;10709;3;Acreditación de alta calidad;8;DOCTOR EN INGENIERIA;30/09/2015
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;135;25/05/2017;8;Ingeniería arquitectura urbanismo y afines;1;Presencial;825;Ingeniería civil y afines;3;Doctorado;2;Posgrado;2;Semestral;8;10717;4;n/a;NA;DOCTOR EN INGENIERIA;NA
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;2;Inactivo;136;30/04/2021;9;Matemáticas y ciencias naturales;1;Presencial;937;Matemáticas estadística y afines;3;Doctorado;2;Posgrado;2;Semestral;8;7416;4;n/a;NA;DOCTOR EN MATEMATICAS;NA
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;150;1/03/2021;6;Economía administración contaduría y afines;1;Presencial;611;Economía;6;Universitaria;1;Pregrado;2;Semestral;10;3129;3;Acreditación de alta calidad;8;ECONOMISTA;12/04/2019
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;28;27/12/2019;8;Ingeniería arquitectura urbanismo y afines;1;Presencial;827;Ingeniería de sistemas telemática y afines;1;Especialización universitaria;2;Posgrado;2;Semestral;2;17381;2;Registro calificado;7;ESPECIALISTA EN ANALÍTICA;14/05/2015
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;NA;28/08/2019;8;Ingeniería arquitectura urbanismo y afines;1;Presencial;825;Ingeniería civil y afines;1;Especialización universitaria;2;Posgrado;2;Semestral;3;9090;4;n/a;NA;ESPECIALISTA EN APROVECHAMIENTO DE RECURSOS HIDRAULICOS;NA
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;30;11/11/2020;9;Matemáticas y ciencias naturales;1;Presencial;934;Biología microbiología y afines;1;Especialización universitaria;2;Posgrado;2;Semestral;2;21326;4;n/a;NA;ESPECIALISTA EN BIOTECNOLOGIA;NA
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;32;24/08/2017;5;Ciencias sociales y humanas;1;Presencial;556;Ciencia política relaciones internacionales;1;Especialización universitaria;2;Posgrado;2;Semestral;2;16733;4;n/a;NA;ESPECIALISTA EN CIENCIA POLITICA;NA
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;26;17/05/2004;8;Ingeniería arquitectura urbanismo y afines;1;Presencial;823;Ingeniería agroindustrial alimentos y afines;1;Especialización universitaria;2;Posgrado;2;Semestral;2;1312;4;n/a;NA;ESPECIALISTA EN CIENCIA Y TECNOLOGIA DE ALIMENTOS;NA
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;2;Inactivo;28;28/09/2020;2;Bellas artes;1;Presencial;27;Diseño;1;Especialización universitaria;2;Posgrado;2;Semestral;3;18051;4;n/a;NA;ESPECIALISTA EN DISEÑO DE MULTIMEDIA;NA
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;NA;30/04/2013;2;Bellas artes;1;Presencial;27;Diseño;1;Especialización universitaria;2;Posgrado;2;Semestral;2;4829;4;n/a;NA;ESPECIALISTA EN DISEÑO URBANO;NA
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;2;Inactivo;28;9/06/2017;5;Ciencias sociales y humanas;1;Presencial;555;Bibliotecología otros de ciencias sociales y humanas;1;Especialización universitaria;2;Posgrado;2;Semestral;2;11731;4;n/a;NA;ESPECIALISTA EN DIVULGACION Y APROPIACION DE LAS CIENCIAS Y LAS TECNICAS;NA
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;28;7/12/2017;8;Ingeniería arquitectura urbanismo y afines;1;Presencial;833;Otras ingenierías;1;Especialización universitaria;2;Posgrado;2;Semestral;2;27735;2;Registro calificado;7;ESPECIALISTA EN ECO-EFICIENCIA INDUSTRIAL;12/12/2016
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;26;6/07/2018;6;Economía administración contaduría y afines;1;Presencial;611;Economía;1;Especialización universitaria;2;Posgrado;2;Semestral;2;11013;4;n/a;NA;ESPECIALISTA EN ECONOMÍA DE LA CULTURA;25/05/2018
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;30;28/01/2014;6;Economía administración contaduría y afines;1;Presencial;611;Economía;1;Especialización universitaria;2;Posgrado;2;Semestral;2;1086;4;n/a;NA;ESPECIALISTA EN ECONOMIA INTERNACIONAL;NA
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;2;Inactivo;NA;5/07/2007;9;Matemáticas y ciencias naturales;1;Presencial;934;Biología microbiología y afines;1;Especialización universitaria;2;Posgrado;2;Semestral;3;3769;4;n/a;NA;ESPECIALISTA EN ENTOMOLOGIA;NA
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;25;18/04/2012;9;Matemáticas y ciencias naturales;1;Presencial;937;Matemáticas estadística y afines;1;Especialización universitaria;2;Posgrado;2;Semestral;2;4001;4;n/a;NA;ESPECIALISTA EN ESTADISTICA;NA
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;NA;16/06/2008;5;Ciencias sociales y humanas;1;Presencial;568;Filosofía teología y afines;1;Especialización universitaria;2;Posgrado;2;Semestral;3;3575;4;n/a;NA;ESPECIALISTA EN ESTETICA;NA
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;NA;7/12/2017;8;Ingeniería arquitectura urbanismo y afines;1;Presencial;825;Ingeniería civil y afines;1;Especialización universitaria;2;Posgrado;2;Semestral;3;27747;4;n/a;NA;ESPECIALISTA EN ESTRUCTURAS;NA
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;2;Inactivo;NA;3/02/2017;6;Economía administración contaduría y afines;1;Presencial;69;Administración;1;Especialización universitaria;2;Posgrado;2;Semestral;3;1456;4;n/a;NA;ESPECIALISTA EN GERENCIA ORGANIZACIONAL;NA
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;2;Inactivo;NA;11/11/2020;8;Ingeniería arquitectura urbanismo y afines;1;Presencial;820;Ingeniería ambiental sanitaria y afines;1;Especialización universitaria;2;Posgrado;2;Semestral;3;21325;4;n/a;NA;ESPECIALISTA EN GESTION AGROAMBIENTAL;NA
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;NA;1/11/2013;8;Ingeniería arquitectura urbanismo y afines;1;Presencial;820;Ingeniería ambiental sanitaria y afines;1;Especialización universitaria;2;Posgrado;2;Semestral;3;15562;4;n/a;NA;ESPECIALISTA EN GESTION AMBIENTAL;NA
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;28;3/02/2017;8;Ingeniería arquitectura urbanismo y afines;1;Presencial;826;Ingeniería de minas metalurgia y afines;1;Especialización universitaria;2;Posgrado;2;Semestral;2;1456;2;Registro calificado;7;ESPECIALISTA EN GESTIÓN DEL NEGOCIO MINERO;14/05/2015
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;28;7/12/2017;6;Economía administración contaduría y afines;1;Presencial;69;Administración;1;Especialización universitaria;2;Posgrado;2;Semestral;2;27746;4;n/a;NA;ESPECIALISTA EN GESTION EMPRESARIAL;NA
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;26;24/10/2017;6;Economía administración contaduría y afines;1;Presencial;69;Administración;1;Especialización universitaria;2;Posgrado;2;Semestral;2;22119;4;n/a;NA;ESPECIALISTA EN GESTION INMOBILIARIA;NA
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;28;17/05/2004;8;Ingeniería arquitectura urbanismo y afines;1;Presencial;826;Ingeniería de minas metalurgia y afines;1;Especialización universitaria;2;Posgrado;2;Semestral;2;1312;4;n/a;NA;ESPECIALISTA EN INGENIERIA DE MATERIALES Y PROCESOS;NA
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;28;17/05/2004;8;Ingeniería arquitectura urbanismo y afines;1;Presencial;827;Ingeniería de sistemas telemática y afines;1;Especialización universitaria;2;Posgrado;2;Semestral;2;1312;2;Registro calificado;7;ESPECIALISTA EN INGENIERÍA DE SOFTWARE;14/05/2015
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;28;17/05/2004;8;Ingeniería arquitectura urbanismo y afines;1;Presencial;821;Ingeniería administrativa y afines;1;Especialización universitaria;2;Posgrado;2;Semestral;2;1312;4;n/a;NA;ESPECIALISTA EN INGENIERIA DE LA ADMINISTRACION;NA
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;28;17/05/2004;8;Ingeniería arquitectura urbanismo y afines;1;Presencial;825;Ingeniería civil y afines;1;Especialización universitaria;2;Posgrado;1;Anual;2;1312;2;Registro calificado;7;ESPECIALISTA EN INGENIERÍA GEOTECNIA;14/05/2015
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;28;17/05/2004;9;Matemáticas y ciencias naturales;1;Presencial;934;Biología microbiología y afines;1;Especialización universitaria;2;Posgrado;2;Semestral;2;1312;2;Registro calificado;7;ESPECIALISTA EN INTELIGENCIA ARTIFICIAL;15/07/2019
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;26;4/08/2016;6;Economía administración contaduría y afines;1;Presencial;611;Economía;1;Especialización universitaria;2;Posgrado;2;Semestral;2;16120;4;n/a;NA;ESPECIALISTA EN INTERVENTORIA DE PROYECTOS Y OBRAS;NA
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;2;Inactivo;NA;12/06/2019;8;Ingeniería arquitectura urbanismo y afines;1;Presencial;822;Ingeniería agrícola forestal y afines;1;Especialización universitaria;2;Posgrado;2;Semestral;3;6106;4;n/a;NA;ESPECIALISTA EN MANEJO DE PLANTACIONES FORESTALES;NA
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;28;17/05/2004;8;Ingeniería arquitectura urbanismo y afines;1;Presencial;831;Ingeniería mecánica y afines;1;Especialización universitaria;2;Posgrado;2;Semestral;2;1312;2;Registro calificado;7;ESPECIALISTA EN MANTENIMIENTO;27/07/2015
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;2;Inactivo;NA;16/11/2004;9;Matemáticas y ciencias naturales;1;Presencial;937;Matemáticas estadística y afines;1;Especialización universitaria;2;Posgrado;2;Semestral;3;4216;4;n/a;NA;ESPECIALISTA EN MATEMATICAS AVANZADAS;NA
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;28;1/03/2021;6;Economía administración contaduría y afines;1;Presencial;69;Administración;1;Especialización universitaria;2;Posgrado;2;Semestral;2;3123;4;n/a;NA;ESPECIALISTA EN MERCADOS DE ENERGIA;NA
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;28;16/11/2004;8;Ingeniería arquitectura urbanismo y afines;1;Presencial;832;Ingeniería química y afines;1;Especialización universitaria;2;Posgrado;9;Periodos;2;4216;2;Registro calificado;7;ESPECIALISTA EN NANOTECNOLOGÍA APLICADA A LA INDUSTRIA DEL PETRÓLEO Y GAS;15/07/2019
